order_date,region,category,sales,profit,quantity,discount,target,row_id,order_id,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,product_id,subcategory,product_name
2016-11-08,South,Furniture,261.96,41.9136,2,0.0,275.058,1,CA-2016-152156,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,FUR-BO-10001798,Bookcases,Bush Somerset Collection Bookcase
2016-11-08,South,Furniture,731.94,219.582,3,0.0,768.537,2,CA-2016-152156,11/11/2016,Second Class,CG-12520,Claire Gute,Consumer,United States,Henderson,Kentucky,42420,FUR-CH-10000454,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
2016-06-12,West,Office Supplies,14.62,6.8714,2,0.0,15.350999999999999,3,CA-2016-138688,6/16/2016,Second Class,DV-13045,Darrin Van Huff,Corporate,United States,Los Angeles,California,90036,OFF-LA-10000240,Labels,Self-Adhesive Address Labels for Typewriters by Universal
2015-10-11,South,Furniture,957.5775,-383.031,5,0.45,1005.456375,4,US-2015-108966,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,FUR-TA-10000577,Tables,Bretford CR4500 Series Slim Rectangular Table
2015-10-11,South,Office Supplies,22.368,2.5164,2,0.2,23.4864,5,US-2015-108966,10/18/2015,Standard Class,SO-20335,Sean O'Donnell,Consumer,United States,Fort Lauderdale,Florida,33311,OFF-ST-10000760,Storage,Eldon Fold 'N Roll Cart System
2014-06-09,West,Furniture,48.86,14.1694,7,0.0,51.303000000000004,6,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,FUR-FU-10001487,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
2014-06-09,West,Office Supplies,7.28,1.9656,4,0.0,7.644000000000001,7,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,OFF-AR-10002833,Art,Newell 322
2014-06-09,West,Technology,907.152,90.7152,6,0.2,952.5096000000001,8,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,TEC-PH-10002275,Phones,Mitel 5320 IP Phone VoIP phone
2014-06-09,West,Office Supplies,18.504,5.7825,3,0.2,19.4292,9,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,OFF-BI-10003910,Binders,DXL Angle-View Binders with Locking Rings by Samsill
2014-06-09,West,Office Supplies,114.9,34.47,5,0.0,120.64500000000001,10,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,OFF-AP-10002892,Appliances,Belkin F5C206VTEL 6 Outlet Surge
2014-06-09,West,Furniture,1706.184,85.3092,9,0.2,1791.4932000000001,11,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,FUR-TA-10001539,Tables,Chromcraft Rectangular Conference Tables
2014-06-09,West,Technology,911.424,68.3568,4,0.2,956.9952000000001,12,CA-2014-115812,6/14/2014,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,TEC-PH-10002033,Phones,Konftel 250 Conference phone - Charcoal black
2017-04-15,South,Office Supplies,15.552,5.4432,3,0.2,16.3296,13,CA-2017-114412,4/20/2017,Standard Class,AA-10480,Andrew Allen,Consumer,United States,Concord,North Carolina,28027,OFF-PA-10002365,Paper,Xerox 1967
2016-12-05,West,Office Supplies,407.976,132.5922,3,0.2,428.3748,14,CA-2016-161389,12/10/2016,Standard Class,IM-15070,Irene Maddox,Consumer,United States,Seattle,Washington,98103,OFF-BI-10003656,Binders,Fellowes PB200 Plastic Comb Binding Machine
2015-11-22,Central,Office Supplies,68.81,-123.858,5,0.8,72.2505,15,US-2015-118983,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,OFF-AP-10002311,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
2015-11-22,Central,Office Supplies,2.544,-3.816,3,0.8,2.6712000000000002,16,US-2015-118983,11/26/2015,Standard Class,HP-14815,Harold Pawlan,Home Office,United States,Fort Worth,Texas,76106,OFF-BI-10000756,Binders,Storex DuraTech Recycled Plastic Frosted Binders
2014-11-11,Central,Office Supplies,665.88,13.3176,6,0.0,699.174,17,CA-2014-105893,11/18/2014,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,OFF-ST-10004186,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
2014-05-13,West,Office Supplies,55.5,9.99,2,0.0,58.275000000000006,18,CA-2014-167164,5/15/2014,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,OFF-ST-10000107,Storage,Fellowes Super Stor/Drawer
2014-08-27,West,Office Supplies,8.56,2.4824,2,0.0,8.988000000000001,19,CA-2014-143336,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFF-AR-10003056,Art,Newell 341
2014-08-27,West,Technology,213.48,16.011,3,0.2,224.154,20,CA-2014-143336,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,TEC-PH-10001949,Phones,Cisco SPA 501G IP Phone
2014-08-27,West,Office Supplies,22.72,7.384,4,0.2,23.855999999999998,21,CA-2014-143336,9/1/2014,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,OFF-BI-10002215,Binders,"Wilson Jones Hanging View Binder, White, 1"""
